epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,512.164,0.38527,0.32698,0.87785,0.66535,0.8,0.73146,0.69048,0.77488,0.6316,1.34431,0.00121366,0.00121366,0.00121366
141,515.076,0.39522,0.32645,0.88093,0.66634,0.8,0.74865,0.71389,0.75359,0.6205,1.32783,0.001208,0.001208,0.001208
142,519.079,0.38638,0.31432,0.90444,0.67897,0.81667,0.77534,0.70019,0.78098,0.65548,1.36232,0.00120234,0.00120234,0.00120234
143,524.025,0.33895,0.29136,0.87675,0.66295,0.8,0.72393,0.67013,0.79672,0.69998,1.38486,0.00119669,0.00119669,0.00119669
144,527.19,0.35548,0.29844,0.87225,0.66551,0.8,0.6916,0.65836,0.7589,0.71854,1.35085,0.00119103,0.00119103,0.00119103
145,530.068,0.33643,0.28879,0.86611,0.66587,0.8,0.68355,0.64945,0.77329,0.72002,1.35826,0.00118537,0.00118537,0.00118537
146,533.021,0.36122,0.3067,0.87944,0.6799,0.81667,0.6428,0.58956,0.75111,0.70881,1.33407,0.00117971,0.00117971,0.00117971
147,537.4,0.36908,0.29688,0.87986,0.65693,0.8,0.63905,0.59884,0.76716,0.68725,1.3403,0.00117406,0.00117406,0.00117406
148,541.898,0.37382,0.32602,0.88743,0.65749,0.8,0.68995,0.65381,0.74078,0.66289,1.3183,0.0011684,0.0011684,0.0011684
149,544.787,0.36284,0.30396,0.8939,0.67836,0.81667,0.73483,0.67111,0.7409,0.67801,1.31552,0.00116274,0.00116274,0.00116274
150,547.774,0.3621,0.29276,0.86267,0.65297,0.81667,0.73652,0.66826,0.77702,0.68279,1.33488,0.00115709,0.00115709,0.00115709
151,550.768,0.36787,0.29828,0.86944,0.67858,0.80935,0.71874,0.64963,0.80932,0.67353,1.34426,0.00115143,0.00115143,0.00115143
152,555.628,0.34031,0.29237,0.89098,0.66608,0.8,0.68428,0.6425,0.80848,0.64359,1.36506,0.00114577,0.00114577,0.00114577
153,559.625,0.36299,0.2966,0.86526,0.67997,0.81667,0.74928,0.69198,0.80912,0.63866,1.36837,0.00114011,0.00114011,0.00114011
154,562.669,0.33637,0.28186,0.86601,0.67244,0.8,0.77027,0.72074,0.78483,0.66758,1.34658,0.00113446,0.00113446,0.00113446
155,565.577,0.39228,0.3269,0.86489,0.66603,0.8,0.7571,0.71802,0.75857,0.63148,1.37321,0.0011288,0.0011288,0.0011288
156,568.879,0.3259,0.27548,0.86959,0.65379,0.8,0.73256,0.69796,0.76206,0.62683,1.3835,0.00112314,0.00112314,0.00112314
157,573.814,0.35333,0.28361,0.88086,0.65171,0.78333,0.73015,0.68427,0.80677,0.63703,1.4065,0.00111749,0.00111749,0.00111749
158,577.601,0.35058,0.30041,0.87108,0.63884,0.76667,0.7029,0.6702,0.83101,0.692,1.42341,0.00111183,0.00111183,0.00111183
159,580.49,0.34624,0.30046,0.88972,0.64753,0.8,0.72217,0.68714,0.7996,0.67526,1.3899,0.00110617,0.00110617,0.00110617
160,583.275,0.34231,0.28599,0.86698,0.6657,0.8,0.70785,0.67649,0.77609,0.66524,1.34757,0.00110051,0.00110051,0.00110051
161,586.65,0.3509,0.28699,0.86857,0.66453,0.8,0.68611,0.66032,0.76392,0.66376,1.3456,0.00109486,0.00109486,0.00109486
162,591.466,0.35045,0.30775,0.87908,0.66573,0.8,0.68146,0.64763,0.76196,0.65103,1.36977,0.0010892,0.0010892,0.0010892
163,595.283,0.35836,0.29515,0.86502,0.66611,0.8,0.69367,0.6684,0.76155,0.65204,1.36025,0.00108354,0.00108354,0.00108354
164,598.265,0.33634,0.28815,0.87841,0.66613,0.8,0.70993,0.67715,0.7521,0.63693,1.34462,0.00107789,0.00107789,0.00107789
165,601.132,0.33992,0.30224,0.88477,0.66602,0.8,0.72121,0.69066,0.75421,0.64325,1.3495,0.00107223,0.00107223,0.00107223
166,604.408,0.34395,0.30486,0.8674,0.66587,0.8,0.724,0.69763,0.72459,0.67643,1.31287,0.00106657,0.00106657,0.00106657
167,609.378,0.32072,0.2758,0.8606,0.64539,0.8,0.69907,0.66565,0.73089,0.73624,1.31062,0.00106091,0.00106091,0.00106091
168,613.031,0.33153,0.28155,0.87301,0.66538,0.8,0.70905,0.67285,0.7929,0.73368,1.35985,0.00105526,0.00105526,0.00105526
169,615.898,0.36205,0.29172,0.88879,0.66593,0.8,0.69076,0.66024,0.74176,0.73567,1.31905,0.0010496,0.0010496,0.0010496
170,618.915,0.33522,0.28836,0.86905,0.66552,0.8,0.6735,0.65214,0.78152,0.65218,1.3853,0.00104394,0.00104394,0.00104394
171,622.296,0.36125,0.30593,0.8831,0.66528,0.8,0.66264,0.63513,0.7629,0.65695,1.3636,0.00103829,0.00103829,0.00103829
172,627.092,0.3519,0.28364,0.86422,0.66597,0.8,0.66348,0.62644,0.77612,0.67071,1.38315,0.00103263,0.00103263,0.00103263
173,630.637,0.34819,0.28548,0.86926,0.66608,0.8,0.66838,0.62231,0.76388,0.66293,1.37836,0.00102697,0.00102697,0.00102697
174,633.61,0.35145,0.27895,0.87615,0.66611,0.8,0.66676,0.62628,0.75569,0.66499,1.36529,0.00102131,0.00102131,0.00102131
175,636.464,0.35047,0.28129,0.88546,0.66614,0.8,0.65938,0.61456,0.77003,0.66117,1.36624,0.00101566,0.00101566,0.00101566
